,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-05-07 22:30:00,1915.6759461264,1915.6759461264,1831.8672889298,1854.5897983902,1908.3889867452685,25
2023-05-08 02:00:00,1854.2191221001,1869.4627234089,1851.7632142433,1867.0423395554,1905.208475422971,25
2023-05-08 05:30:00,1867.0824217868,1869.9269998656,1841.4625989214,1845.0534600123,1900.5811665452272,25
2023-05-08 09:00:00,1844.3326281615,1867.8587450017,1844.3326281615,1862.0327121446,1897.6159008221023,25
2023-05-08 12:30:00,1862.0327121446,1877.3895702974,1851.7273045737,1867.6072033913,1895.3075394812715,25
2023-05-08 16:00:00,1867.0722458434,1867.0722458434,1820.0381661699,1840.2386047922,1891.0714675821123,25
2023-05-08 19:30:00,1840.2385332993,1851.0841142171,1831.1586454531,1848.1257389477,1887.76794999485,25
2023-05-08 23:00:00,1848.1257012103,1857.3942625544,1842.1389527574,1843.1314815851,1884.3343755017922,25
2023-05-09 02:30:00,1843.1314815851,1847.0010880566,1841.9772025494,1844.0000390128,1881.2317342334084,25
2023-05-09 06:00:00,1843.8991492374,1849.989346385,1835.7648446419,1844.378323903,1878.396856515685,25
2023-05-09 09:30:00,1844.378323903,1854.2667429747,1839.5168436097,1850.9738717011,1876.2873961453324,25
2023-05-09 13:00:00,1851.1900038364,1852.4419307675,1839.681884402,1842.1721977572,1873.6631501154761,25
2023-05-09 16:30:00,1842.2935570522,1858.7245551962,1842.2935570522,1852.5689453627,1872.0405189806474,25
2023-05-09 20:00:00,1852.6268142349,1862.0421630461,1845.2767430002,1846.9014365329,1870.1067434077438,25
2023-05-09 23:30:00,1847.0759464429,1858.3043218648,1845.5777970411,1845.5777970411,1868.2199013795405,25
2023-05-10 03:00:00,1845.6077108771,1848.2217202468,1837.4610697927,1839.4017268862,1866.0031187262066,25
2023-05-10 06:30:00,1839.4017268862,1843.3984272141,1837.8091590548,1840.148903026,1864.0143329031139,25
2023-05-10 10:00:00,1840.148903026,1888.039017213,1840.148903026,1873.6405782028,1864.754813310782,25
2023-05-10 13:30:00,1873.9566201688,1881.1901363686,1869.712056014,1876.0453968978,1865.6233197405527,25
2023-05-10 17:00:00,1875.7512328444,1875.7512328444,1801.1189318193,1856.7910660161,1864.9439156079025,25
2023-05-10 20:30:00,1857.2119137777,1859.9273564878,1832.7178660191,1842.0942868006,1863.1862518534947,25
2023-05-11 00:00:00,1842.0942868006,1842.0942868006,1825.5889540777,1827.919772588,1860.473445756149,25
2023-05-11 03:30:00,1827.919772588,1833.0743144642,1827.919772588,1832.0933305582,1858.2903599716915,25
2023-05-11 07:00:00,1832.0933305582,1835.3233770725,1814.3929229985,1822.7900831057,1855.5595694435385,25
2023-05-11 10:30:00,1822.7900831057,1838.4334866917,1804.2662961103,1808.7360221058,1851.9577581098665,25
2023-05-11 14:00:00,1809.0257001997,1810.5228735135,1778.0518880845,1784.0013846211,1846.730344764577,25
2023-05-11 17:30:00,1784.6854395234,1798.7316570373,1780.6708004249,1798.7316570373,1843.0381380163249,25
2023-05-11 21:00:00,1798.4577612873,1800.6171904258,1789.622503561,1796.9938316038,1839.4962682922846,25
2023-05-12 00:30:00,1796.9938316038,1801.9522153081,1765.2140930605,1765.2140930605,1833.7822548129166,25
2023-05-12 04:00:00,1765.2140930605,1772.8264096944,1745.1917568218,1761.3513818654,1828.2106492015694,25
2023-05-12 07:30:00,1761.0911494896,1772.6620967493,1759.195053383,1768.5565236697,1823.6218703145028,25
2023-05-12 11:00:00,1768.6619487398,1782.1241974586,1767.1696449854,1777.9327553214,1820.1073230073412,25
2023-05-12 14:30:00,1777.9327553214,1777.9327553214,1765.2311860266,1774.5593855689,1816.6036355120764,25
2023-05-12 18:00:00,1774.5597436823,1809.534612681,1747.1668046995,1808.97206666,1816.0165917542245,25
2023-05-12 21:30:00,1810.1133477487,1815.2405929804,1802.3891760889,1808.2747138073,1815.4210626813842,25
2023-05-13 01:00:00,1808.4315158728,1814.6226685167,1808.4192671655,1808.4193850422,1814.8824720937548,25
2023-05-13 04:30:00,1808.4192577944,1808.4192577944,1800.2813039696,1804.971723882,1814.120106846697,25
2023-05-13 08:00:00,1804.8185018551,1810.7851229504,1804.2317388535,1806.0678569979,1813.5007030121742,25
2023-05-13 11:30:00,1805.9664678592,1807.8977851515,1790.8644386908,1794.7683399891,1812.0597520103993,25
2023-05-13 15:00:00,1794.5646665119,1797.1962609026,1792.8420734162,1794.7788897169,1810.7304549108994,25
2023-05-13 18:30:00,1794.9264684963,1804.1859030649,1789.4888653891,1802.4346694801,1810.0923175700686,25
2023-05-13 22:00:00,1802.2298616864,1803.3915633328,1795.2438604954,1795.9093720272,1809.001321759079,25
2023-05-14 01:30:00,1796.0388575924,1803.5630556563,1795.7173654128,1803.0779537198,1808.54567806375,25
2023-05-14 05:00:00,1803.0779537198,1808.2041043552,1803.0779537198,1805.5247782175,1808.3133011525001,25
2023-05-14 08:30:00,1805.524783897,1805.524783897,1803.1445787735,1803.3188319615,1807.929111214731,25
2023-05-14 12:00:00,1803.1822559553,1819.4922136418,1800.416809634,1816.5013034548,1808.5885106178134,25
2023-05-14 15:30:00,1816.3762905402,1823.6909514645,1799.729145888,1802.3359166746,1808.107541852951,25
2023-05-14 19:00:00,1802.1656714211,1802.6829732393,1795.2664334791,1802.1100032035,1807.6461927260702,25
2023-05-14 22:30:00,1801.98002066,1828.9688600082,1787.8087135921,1824.5366669421,1808.9454599734572,25
2023-05-15 02:00:00,1824.7551695812,1832.4015971805,1822.4178681355,1822.7351401448,1810.0062046020223,25
2023-05-15 05:30:00,1822.925942611,1834.1627996831,1822.925942611,1831.0470736135,1811.6247329875207,25
2023-05-15 09:00:00,1831.0470736135,1834.1202860201,1826.5042508029,1827.4399984316,1812.8412918678346,25
2023-05-15 12:30:00,1827.2511618873,1835.4057973464,1814.8646590639,1827.861479993,1813.996690954386,25
2023-05-15 16:00:00,1827.941129129,1845.3661410523,1826.348041788,1828.5091870607,1815.1130368087179,25
2023-05-15 19:30:00,1828.2732127002,1828.2732127002,1822.3068683585,1822.5464443519,1815.6848373889627,25
2023-05-15 23:00:00,1822.5465103908,1822.5465103908,1799.842850923,1807.0765521604,1815.0226616021503,25
2023-05-16 02:30:00,1807.0765521604,1813.9543195425,1807.0765521604,1811.8205944872,1814.776348747154,25
2023-05-16 06:00:00,1811.8205944872,1826.2269529127,1809.2111531756,1820.9288752026,1815.2496200129576,25
2023-05-16 09:30:00,1820.9288752026,1822.3160470405,1814.6359174877,1821.4762263063,1815.7285897278302,25
2023-05-16 13:00:00,1821.3997175205,1822.0120610382,1814.1946526795,1821.3532681866,1816.1612573015818,25
2023-05-16 16:30:00,1821.6014201351,1832.977937029,1817.756387147,1817.756387147,1816.2839595973833,25
2023-05-16 20:00:00,1817.9880160702,1828.1329901426,1817.9880160702,1824.9127766284,1816.9477147536156,25
2023-05-16 23:30:00,1824.9127766284,1835.6542068428,1820.9369230131,1827.0489377047,1817.7247319036992,25
